run,k_stoppages,timing_band,first_start_day,passive_tardiness,model1_tardiness,model2_tardiness
84,1,middle,56.6,8.24,8.24,4.959
85,1,middle,79.7,1.34,1.34,0.18
86,1,middle,45.9,3.2,3.2,0.8
87,1,middle,45.2,5.24,5.24,1.959
88,1,middle,46.3,4.0,4.0,1.0
89,1,middle,38.7,8.84,8.84,4.513
90,1,middle,51.9,4.28,4.28,1.07
91,1,middle,65.4,6.57,6.57,4.382
92,1,middle,55.8,9.0,9.0,5.719
93,1,middle,60.6,3.63,3.63,0.953
94,1,middle,61.9,1.08,1.08,0.027
95,1,middle,57.0,2.52,2.52,0.63
96,1,middle,31.2,9.1,9.1,4.725
97,1,middle,41.2,4.4,4.4,0.629
98,1,middle,73.8,3.75,3.75,1.562
99,1,middle,50.2,4.72,4.72,1.439
100,1,middle,63.8,5.34,5.34,3.152
101,1,middle,37.3,6.3,6.3,1.925
102,1,middle,45.7,3.08,3.08,0.77
103,1,middle,76.6,3.48,3.48,1.292
104,1,middle,64.1,5.16,5.16,2.973
105,1,middle,84.8,2.08,2.08,1.04
106,1,middle,67.1,3.48,3.48,1.293
107,1,middle,61.2,4.65,4.65,2.129
108,1,middle,57.7,3.63,3.63,0.397
109,1,middle,59.2,7.11,7.11,4.068
110,1,middle,72.3,6.24,6.24,4.052
111,1,middle,86.6,1.48,1.48,0.74
112,1,middle,64.0,7.14,7.14,4.952
113,1,middle,80.6,1.12,1.12,0.227
114,1,middle,38.2,5.2,5.2,1.04
115,1,middle,35.3,3.6,3.6,0.72
116,1,middle,35.3,7.45,7.45,3.075
117,1,middle,77.3,4.32,4.32,2.228
118,1,middle,40.1,6.4,6.4,2.265
119,1,middle,70.0,1.71,1.71,0.57
120,1,middle,83.1,5.06,5.06,3.966
121,1,middle,44.0,9.72,9.72,6.439
122,1,middle,54.5,4.48,4.48,1.199
123,1,middle,89.4,3.86,3.86,2.766
124,1,middle,40.5,4.08,4.08,0.214
125,1,middle,61.4,2.61,2.61,0.537
126,1,middle,42.5,3.36,3.36,0.507
127,1,middle,73.6,1.11,1.11,0.37
128,1,middle,63.7,3.12,3.12,1.04
