run,k_shortages,timing_band,first_start_day,shortage_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
554,3,late,109.4,C|C|C,1.02,1.02,1.02,118.476,118.476,118.476
555,3,late,103.5,C|C|C,3.549,3.549,3.549,121.005,121.005,121.005
556,3,late,101.5,C|C|C,1.618,1.618,1.618,119.075,119.075,119.075
557,3,late,107.4,C|C|C,1.66,1.66,1.66,119.116,119.116,119.116
558,3,late,111.3,C|C|C,1.32,1.32,1.32,118.776,118.776,118.776
559,3,late,99,B|C|C,1.48,0.32,0.32,118.936,117.776,117.776
560,3,late,101.5,C|C|C,1.2,1.2,1.2,118.656,118.656,118.656
561,3,late,101.5,C|C|C,4.17,4.17,4.17,121.627,121.627,121.627
562,3,late,105.5,C|C|C,0.84,0.84,0.84,118.296,118.296,118.296
563,3,late,107.4,C|C|C,4.12,4.12,4.12,121.577,121.577,121.577
564,3,late,116.4,C|C|C,0,0,0,117.456,117.456,117.456
565,3,late,94.1,C|C|C,3.31,3.483,1.31,119.456,119.456,116.923
566,3,late,105.5,C|C|C,1.94,1.94,1.94,119.396,119.396,119.396
567,3,late,107.4,C|C|C,2.02,2.02,2.02,119.476,119.476,119.476
568,3,late,107.4,C|C|C,1.01,1.01,1.01,118.466,118.466,118.466
569,3,late,113.3,C|C|C,1.36,1.36,1.36,118.816,118.816,118.816
570,3,late,103.5,C|C|C,2.94,2.94,2.94,120.397,120.397,120.397
571,3,late,101.5,C|C|C,1.94,1.94,1.94,119.396,119.396,119.396
572,3,late,101.5,C|C|C,2.06,2.06,2.06,119.516,119.516,119.516
573,3,late,111.3,C|C|C,1.51,1.51,1.51,118.966,118.966,118.966
574,3,late,111.3,C|C|C,1.44,1.44,1.44,118.896,118.896,118.896
575,3,late,116.2,C|C|C,0,0,0,117.456,117.456,117.456
576,3,late,109.4,C|C|C,1.69,1.69,1.69,119.146,119.146,119.146
577,3,late,113.3,C|C|C,0.99,0.99,0.99,118.446,118.446,118.446
578,3,late,113.9,C|C|C,0,0,0,117.456,117.456,117.456
579,3,late,111.3,C|C|C,2.338,2.338,2.338,119.795,119.795,119.795
580,3,late,115.5,C|C|C,0,0,0,117.456,117.456,117.456
581,3,late,105.5,C|C|C,4.03,4.03,4.03,121.487,121.487,121.487
582,3,late,101.5,C|C|C,2.06,2.06,2.06,119.516,119.516,119.516
583,3,late,94.1,C|A|C,2.82,3.142,0.86,119.856,119.856,117.896
584,3,late,99,B|C|C,3.18,3.18,3.18,120.637,120.637,120.637
585,3,late,107.4,C|C|C,2.328,2.328,2.328,119.785,119.785,119.785
586,3,late,115.4,C|C|C,0,0,0,117.456,117.456,117.456
587,3,late,101.5,C|C|C,1.728,1.728,1.728,119.185,119.185,119.185
588,3,late,99,B|C|C,3.18,3.18,3.18,120.637,120.637,120.637
589,3,late,111.3,C|C|C,0.87,0.87,0.87,118.326,118.326,118.326
590,3,late,98.7,A|B|C,1.74,1.34,1.34,119.196,118.796,118.796
591,3,late,116,C|C|C,0,0,0,117.456,117.456,117.456
592,3,late,94.1,C|A|C,6.05,4.457,2.6,120.907,118.946,117.417
593,3,late,99,B|C|C,1.63,1.63,1.63,119.086,119.086,119.086
594,3,late,103.5,C|C|C,0.93,0.93,0.93,118.386,118.386,118.386
595,3,late,109.4,C|C|C,1.3,1.3,1.3,118.756,118.756,118.756
596,3,late,97.2,A|C|C,1.348,0,0,118.805,117.456,117.456
597,3,late,113.3,C|C|C,2.828,2.828,2.828,120.285,120.285,120.285
598,3,late,105.5,C|C|C,2.46,2.46,2.46,119.916,119.916,119.916
599,3,late,109.4,C|C|C,1.03,1.03,1.03,118.486,118.486,118.486
600,3,late,116.5,C|C|C,0,0,0,117.456,117.456,117.456
601,4,early,41.5,B|A|C|C,6.08,2.13,2.13,119.586,119.586,119.586
602,4,early,19.3,A|B|A|B,7.53,0,0,119.196,117.456,117.456
603,4,early,24.8,C|A|C|C,5.518,3.291,0.81,119.635,119.635,117.245
604,4,early,7.6,C|C|A|B,10.767,1.483,1.483,119.528,117.456,117.456
605,4,early,3.1,B|B|C|A,8.34,1.483,1.483,118.936,117.456,117.456
606,4,early,22.3,B|B|A|B,4.05,0,0,118.266,117.456,117.456
607,4,early,19.3,A|B|B|A,11.4,0,0,120.166,117.456,117.456
608,4,early,38.5,A|A|C|C,4.81,1.854,1.67,119.126,117.456,117.133
609,4,early,4.4,B|C|B|C,5.76,0.742,0.742,118.416,117.456,117.456
610,4,early,19.3,A|B|A|C,11.11,0.62,0.62,120.116,118.076,118.076
611,4,early,19.3,A|B|A|A,8.95,0,0,119.246,117.456,117.456
612,4,early,19.3,A|A|C|A,8.89,2.596,2.59,120.046,117.456,117.084
613,4,early,15.4,C|A|A|C,10.18,1.983,1.983,119.917,117.956,117.956
614,4,early,24.8,C|B|C|C,11.11,4.45,4.215,119.796,117.456,117.456
615,4,early,26.7,C|C|C|B,8.9,3.338,3.064,119.236,117.456,117.275
616,4,early,38.5,A|B|B|C,3.24,0.96,0.96,118.746,118.416,118.416
617,4,early,41.5,B|A|C|C,4.88,1.94,1.94,119.396,119.396,119.396
618,4,early,28.7,C|A|B|C,9.031,1.483,1.181,120.227,117.456,117.191
619,4,early,22.3,B|B|B|B,6.9,0,0,118.836,117.456,117.456
620,4,early,22.3,B|A|B|B,11.74,0,0,119.916,117.456,117.456
621,4,early,22.3,B|C|C|C,7.51,2.91,2.91,120.367,120.367,120.367
622,4,early,5.6,C|B|C|C,11.16,3.527,1.86,119.316,118.016,117.237
623,4,early,23.5,B|B|C|C,6.87,1.113,1.113,119.046,117.456,117.456
624,4,early,22.3,B|A|C|C,7.7,1.792,0.646,118.996,118.506,117.562
625,4,early,38.5,A|B|B|C,12.03,2.87,2.87,122.287,120.326,120.326
626,4,early,19.3,A|C|C|C,8.528,3.708,1.03,121.005,117.456,117.456
627,4,early,24.8,C|B|C|C,13.519,3.708,3.365,121.335,117.456,117.15
628,4,early,19.3,A|C|B|C,9.18,3.302,3.302,121.977,120.016,120.016
629,4,early,23.5,B|B|B|B,8.2,0,0,119.756,117.456,117.456
630,4,early,11.5,C|B|B|B,8.946,1.113,1.113,119.166,117.456,117.456
631,4,early,22.3,B|C|C|C,11.791,5.192,2.25,121.277,117.456,117.447
632,4,early,22.3,B|B|A|C,7.611,0.742,0.51,119.927,117.456,117.364
633,4,early,22.3,B|A|B|C,5.448,0,0,120.464,117.456,117.456
634,4,early,41.5,B|A|A|C,4.96,1.49,1.49,119.046,118.946,118.946
635,4,early,38.5,A|B|C|B,7.96,0.742,0.742,119.446,117.456,117.456
636,4,early,19.3,A|C|A|C,10.65,4.395,2.19,121.587,119.626,117.666
637,4,early,38.5,A|C|C|C,5.91,2.703,0.94,119.046,119.046,117.375
638,4,early,38.5,A|C|A|B,10.367,1.483,1.248,120.519,117.456,117.456
639,4,early,22.3,B|C|A|B,8.19,1.854,1.854,119.306,117.456,117.456
640,4,early,7.6,C|C|A|C,8.64,4.079,3.844,119.266,117.456,117.456
641,4,early,3.1,B|C|A|B,8.945,0,0,119.508,117.456,117.456
642,4,early,38.5,A|C|B|C,7.36,1.29,1.29,119.296,118.746,118.746
643,4,early,19.3,A|A|C|C,5.153,0.988,0.988,118.728,118.445,118.445
644,4,early,28.7,C|B|B|C,4.57,0.742,0.742,119.396,117.456,117.456
645,4,early,38.5,A|C|B|C,5.02,3.114,1.62,119.076,118.716,117.178
646,4,early,19.3,A|A|B|C,9.901,1.113,1.113,120.477,117.456,117.456
647,4,early,4.4,B|A|B|A,12.22,0,0,119.676,117.456,117.456
648,4,early,17.4,C|C|C|A,7.26,2.225,2.001,119.086,117.456,117.324
649,4,early,19.3,A|C|A|C,6,2.563,1.2,118.656,118.536,117.265
650,4,early,3.1,B|C|B|C,12.83,2.545,2.545,119.737,117.776,117.776
651,4,early,19.3,A|B|C|C,20.682,4.316,2.26,123.097,119.176,117.307
652,4,early,24.8,C|C|C|C,15.041,5.8,2.74,120.867,118.806,117.321
653,4,early,19.3,A|C|A|C,7.47,3.338,3.294,119.246,117.456,117.45
654,4,early,19.3,A|B|A|C,13.71,2.31,2.31,121.727,119.766,119.766
655,4,early,19.7,A|A|C|C,8.09,2.592,0.649,119.306,119.306,117.438
656,4,early,19.3,A|B|A|A,11.2,0,0,119.696,117.456,117.456
657,4,early,19.3,A|C|B|C,7.59,2.793,0.79,119.136,119.136,117.225
658,4,early,2,A|C|B|C,10.56,0.742,0.742,120.116,117.456,117.456
